-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void trsm_right_kernel<int, float, 256, 4, true, fal...         0.00%       0.000us         0.00%       0.000us       0.000us        1.916s         0.07%        1.916s      58.545us         32720  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us        1.883s         0.07%        1.883s      15.844us        118848  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.709s         0.06%        1.709s      58.363us         29280  
                                           Buffer Flush         0.00%     110.285ms         0.00%     115.549ms      80.691us        1.578s         0.06%        1.578s       1.102ms          1432  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.502s         0.05%        1.502s       9.496us        158124  
                                 ampere_sgemm_128x64_tt         0.00%       0.000us         0.00%       0.000us       0.000us        1.089s         0.04%        1.089s     709.124us          1536  
                                  stage:back_projection         0.00%       0.000us         0.00%       0.000us       0.000us        1.089s         0.04%        1.089s     709.124us          1536  
void potrf_alg2_upper_trsm<float, 5, 3>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     798.325ms         0.03%     798.325ms       6.417us        124416  
void potrf_alg2_syrk_kernel<float, true, false, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us     491.086ms         0.02%     491.086ms       3.947us        124416  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     299.385ms         0.01%     299.385ms       5.038us         59424  
                                     aten::index_select         0.00%      24.490ms         0.00%      51.158ms      26.195us     255.347ms         0.01%     257.809ms     132.007us          1953  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us     250.138ms         0.01%     250.138ms       2.606ms            96  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us     239.437ms         0.01%     239.437ms      25.981us          9216  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     227.793ms         0.01%     227.793ms       1.140us        199776  
                                            aten::rsqrt         0.03%     747.110ms         0.04%        1.195s       9.416us     190.457ms         0.01%     190.485ms       1.501us        126945  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     190.457ms         0.01%     190.457ms       1.500us        126945  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     189.199ms         0.01%     189.199ms       1.490us        126945  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     144.473ms         0.01%     144.473ms       9.406us         15360  
                                               cudaFree         0.11%        3.169s         0.11%        3.169s     435.107us     127.991ms         0.00%     127.991ms      17.572us          7284  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     113.754ms         0.00%     113.754ms      29.623us          3840  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     113.597ms         0.00%     113.597ms      29.582us          3840  
