-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     729.063us         0.00%     729.063us       7.594us            96  
                                              aten::sin         0.00%     573.458us         0.00%     873.477us       9.099us     728.996us         0.00%     728.996us       7.594us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     728.996us         0.00%     728.996us       7.594us            96  
                                              aten::any         0.00%       2.725ms         0.00%       6.721ms      35.188us     328.257us         0.00%     706.888us       3.701us           191  
                                               aten::eq         0.00%       4.522ms         0.00%       6.050ms      15.554us     655.008us         0.00%     655.008us       1.684us           389  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     611.332us         0.00%     611.332us       3.184us           192  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     604.261us         0.00%     604.261us     120.852us             5  
                                             aten::item         0.00%     585.415us         2.75%       14.915s      39.458ms       0.000us         0.00%     552.209us       1.461us           378  
                              aten::_local_scalar_dense         0.00%       1.818ms         2.75%       14.915s      39.457ms     552.209us         0.00%     552.209us       1.461us           378  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     552.209us         0.00%     552.209us       1.461us           378  
                             aten::_linalg_check_errors         0.00%     500.776us         0.00%       7.261ms      90.764us       0.000us         0.00%     529.772us       6.622us            80  
                                           aten::cumsum         0.00%       1.724ms         0.00%       4.164ms      41.227us     529.258us         0.00%     529.258us       5.240us           101  
                            copy_info_kernel(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us     499.270us         0.00%     499.270us       1.560us           320  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     457.632us         0.00%     457.632us       1.589us           288  
void at_cuda_detail::cub::DeviceScanKernel<at_cuda_d...         0.00%       0.000us         0.00%       0.000us       0.000us     416.454us         0.00%     416.454us       4.123us           101  
                                       aten::is_nonzero         0.00%     308.148us         2.75%       14.914s      50.046ms       0.000us         0.00%     401.068us       1.346us           298  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     328.257us         0.00%     328.257us       2.957us           111  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     313.724us         0.00%     313.724us       1.071us           293  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     309.150us         0.00%     309.150us       1.602us           193  
                                              aten::sub         0.00%       1.445ms         0.00%       2.174ms      11.036us     301.288us         0.00%     301.288us       1.529us           197  
                                         aten::new_ones         0.00%     394.548us         0.00%      10.512ms     109.505us       0.000us         0.00%     301.186us       3.137us            96  
                                              aten::max         0.00%     979.922us         0.00%       3.143ms      32.743us     281.470us         0.00%     281.470us       2.932us            96  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     281.470us         0.00%     281.470us       2.932us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     278.787us         0.00%     278.787us       1.452us           192  
                                            aten::index         0.00%       1.206ms         0.00%       1.773ms      19.482us     268.898us         0.00%     268.898us       2.955us            91  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     268.898us         0.00%     268.898us       2.955us            91  
                                           aten::__or__         0.00%     258.404us         0.00%       2.362ms      12.303us       0.000us         0.00%     255.819us       1.332us           192  
                                       aten::bitwise_or         0.00%       1.354ms         0.00%       2.104ms      10.957us     255.819us         0.00%     255.819us       1.332us           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     255.819us         0.00%     255.819us       1.332us           192  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     245.442us         0.00%     245.442us       2.697us            91  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     225.696us         0.00%     225.696us       9.028us            25  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     213.568us         0.00%     213.568us       2.670us            80  
void gesvdj_diagonal_kernel<float, float, 256>(long,...         0.00%       0.000us         0.00%       0.000us       0.000us     212.162us         0.00%     212.162us       2.652us            80  
                                             aten::full         0.00%     529.674us         0.00%       2.466ms      12.845us       0.000us         0.00%     207.199us       1.079us           192  
                                          aten::__and__         0.00%     166.517us         0.00%       1.251ms      13.032us       0.000us         0.00%     206.405us       2.150us            96  
                                      aten::bitwise_and         0.00%     668.559us         0.00%       1.085ms      11.298us     206.405us         0.00%     206.405us       2.150us            96  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     206.405us         0.00%     206.405us       2.150us            96  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     204.702us         0.00%     204.702us       2.249us            91  
void pegasus_sortsign_by_key_local_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us     200.642us         0.00%     200.642us       2.508us            80  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     197.376us         0.00%     197.376us       1.954us           101  
                                     aten::masked_fill_         0.00%     612.892us         0.00%     973.683us      10.143us     188.253us         0.00%     188.253us       1.961us            96  
