-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us        2.079s         0.07%        2.079s      35.149us         59136  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us        2.011s         0.07%        2.011s      45.841us         43872  
void lacpy_kernel<float, float, 5, 3>(long, long, fl...         0.00%       0.000us         0.00%       0.000us       0.000us        1.965s         0.07%        1.965s      56.866us         34560  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us        1.876s         0.06%        1.876s      15.847us        118400  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.277s         0.04%        1.277s       8.074us        158148  
                                 ampere_sgemm_128x64_tt         0.00%       0.000us         0.00%       0.000us       0.000us        1.012s         0.03%        1.012s     658.884us          1536  
                                  stage:back_projection         0.00%       0.000us         0.00%       0.000us       0.000us        1.012s         0.03%        1.012s     658.884us          1536  
void batch_eye_kernel<float, 5, 3>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us     961.560ms         0.03%     961.560ms      24.550us         39168  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     921.571ms         0.03%     921.571ms     239.992us          3840  
void larft_T_32<float, 256>(int, float*, int, float ...         0.00%       0.000us         0.00%       0.000us       0.000us     762.983ms         0.03%     762.983ms      12.418us         61440  
void larft_T_64_batch<float>(int, float*, int, float...         0.00%       0.000us         0.00%       0.000us       0.000us     626.806ms         0.02%     626.806ms      16.323us         38400  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     569.925ms         0.02%     569.925ms       3.420us        166656  
void orgqr_step1_kernel<float, 5, 3>(int, int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us     499.096ms         0.02%     499.096ms      36.104us         13824  
                        ampere_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us     326.152ms         0.01%     326.152ms       5.898us         55296  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     316.480ms         0.01%     316.480ms       1.144us        276672  
                                 ampere_sgemm_128x32_tn         0.00%       0.000us         0.00%       0.000us       0.000us     305.428ms         0.01%     305.428ms       4.971us         61440  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     299.284ms         0.01%     299.284ms       5.055us         59200  
void gemmcn_skinny_kernel<float, 2, 4>(int, int, int...         0.00%       0.000us         0.00%       0.000us       0.000us     276.186ms         0.01%     276.186ms      35.962us          7680  
                                     aten::index_select         0.00%      24.251ms         0.00%      52.008ms      26.726us     255.699ms         0.01%     258.150ms     132.657us          1946  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us     250.618ms         0.01%     250.618ms       2.611ms            96  
                                            aten::rsqrt         0.02%     739.172ms         0.04%        1.191s       9.413us     189.718ms         0.01%     189.739ms       1.500us        126490  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     189.718ms         0.01%     189.718ms       1.500us        126490  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     188.841ms         0.01%     188.841ms       1.493us        126490  
void larfb_restore_v1_R_kernel<float, 16>(long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     139.791ms         0.00%     139.791ms       2.022us         69120  
void larfb_set_v1_R_kernel<float, 16>(long, float*, ...         0.00%       0.000us         0.00%       0.000us       0.000us     135.859ms         0.00%     135.859ms       1.966us         69120  
void larft_T_64<float>(int, float*, int, float const...         0.00%       0.000us         0.00%       0.000us       0.000us     117.717ms         0.00%     117.717ms      15.328us          7680  
                                             aten::triu         0.00%      80.602ms         0.00%     152.721ms      11.048us     101.093ms         0.00%     101.119ms       7.315us         13824  
void at::native::triu_tril_kernel<float, int, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us     101.093ms         0.00%     101.093ms       7.313us         13824  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      96.990ms         0.00%      96.990ms      25.258us          3840  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      96.717ms         0.00%      96.717ms      25.187us          3840  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      90.977ms         0.00%      90.977ms      23.692us          3840  
                                 ampere_sgemm_128x32_nt         0.00%       0.000us         0.00%       0.000us       0.000us      78.925ms         0.00%      78.925ms      25.692us          3072  
                                               cudaFree         0.13%        4.109s         0.13%        4.109s     630.604us      67.292ms         0.00%      67.292ms      10.327us          6516  
                                           aten::argmax         0.00%      28.564ms         0.00%      42.609ms      21.896us      63.747ms         0.00%      63.860ms      32.816us          1946  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      63.747ms         0.00%      63.747ms      32.758us          1946  
                            copy_info_kernel(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us      60.973ms         0.00%      60.973ms       1.281us         47616  
                                            aten::fill_         0.00%     150.915ms         0.01%     390.620ms       9.686us      60.963ms         0.00%      63.867ms       1.584us         40328  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      44.299ms         0.00%      44.299ms       1.518us         29184  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      37.482ms         0.00%      37.482ms       2.753us         13614  
void offA_stage1<float, float, 5, 3>(long, long, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      31.386ms         0.00%      31.386ms       3.230us          9716  
void transpose_readWrite_alignment_kernel<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      30.369ms         0.00%      30.369ms       5.649us          5376  
void setup_vhat_l_kernel<float, 16>(long, long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      29.921ms         0.00%      29.921ms       7.792us          3840  
