-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void potrf_alg2_upper_trsm<float, 5, 3>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     142.399ms         0.06%     142.399ms       9.889us         14400  
         ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn         0.00%       0.000us         0.00%       0.000us       0.000us     109.327ms         0.04%     109.327ms       1.367ms            80  
void trsm_right_kernel<int, float, 256, 4, true, fal...         0.00%       0.000us         0.00%       0.000us       0.000us     108.439ms         0.04%     108.439ms      33.887us          3200  
                                        cudaMemsetAsync         0.01%      31.548ms         0.38%     979.232ms     116.354us       0.000us         0.00%     106.470ms      12.651us          8416  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      97.869ms         0.04%      97.869ms       1.483ms            66  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      56.502ms         0.02%      56.502ms      15.765us          3584  
                                  svd_v5/reconstruction         0.00%       0.000us         0.00%       0.000us       0.000us      52.915ms         0.02%      52.915ms     330.721us           160  
void potrf_alg2_syrk_kernel<float, true, false, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us      52.850ms         0.02%      52.850ms       3.670us         14400  
                                  svd_v5/reconstruction         0.00%       4.146ms         0.00%      12.406ms      77.535us       0.000us         0.00%      46.766ms     292.288us           160  
                                        aten::embedding         0.00%     561.533us         0.00%       2.607ms      39.495us       0.000us         0.00%      27.072ms     410.183us            66  
                                     aten::index_select         0.00%       1.021ms         0.00%       1.882ms      28.511us      27.072ms         0.01%      27.072ms     410.183us            66  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      26.909ms         0.01%      26.909ms       2.691ms            10  
                        ampere_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us      18.822ms         0.01%      18.822ms      58.818us           320  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      17.908ms         0.01%      17.908ms      20.350us           880  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us      14.422ms         0.01%      14.422ms       9.014us          1600  
