-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.222ms         0.00%       4.222ms       2.282us          1850  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.048ms         0.00%       4.048ms       1.982us          2042  
void batch_FnrmA_stage2<float, 8>(long, float*, long...         0.00%       0.000us         0.00%       0.000us       0.000us       3.810ms         0.00%       3.810ms       2.480us          1536  
                                     aten::masked_fill_         0.00%      17.365ms         0.00%      92.804ms      47.689us       3.791ms         0.00%       3.799ms       1.952us          1946  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.791ms         0.00%       3.791ms       1.948us          1946  
void reset_lowerA_kernel<float, 256>(long, float con...         0.00%       0.000us         0.00%       0.000us       0.000us       3.743ms         0.00%       3.743ms       2.437us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.557ms         0.00%       3.557ms       1.664us          2138  
                                             aten::sqrt         0.00%      22.015ms         0.00%      32.033ms      20.855us       3.481ms         0.00%       3.483ms       2.268us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.481ms         0.00%       3.481ms       2.266us          1536  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.229ms         0.00%       3.229ms       2.102us          1536  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.207ms         0.00%       3.207ms       1.734us          1850  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.169ms         0.00%       3.169ms       1.592us          1991  
                                               aten::ge         0.00%      22.210ms         0.00%      35.098ms      18.036us       3.097ms         0.00%       3.100ms       1.593us          1946  
void pegasus_sortsign_by_key_local_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.036ms         0.00%       3.036ms       1.977us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.922ms         0.00%       2.922ms       1.501us          1946  
void pegasusIinclusive_scan_domino_v1_core<256, 4>(i...         0.00%       0.000us         0.00%       0.000us       0.000us       2.831ms         0.00%       2.831ms       1.843us          1536  
void lascl_kernel<float, float, 8>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us       2.731ms         0.00%       2.731ms       1.778us          1536  
                                      aten::bitwise_not         0.00%      18.408ms         0.00%      26.791ms      13.767us       2.661ms         0.00%       2.663ms       1.368us          1946  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.661ms         0.00%       2.661ms       1.367us          1946  
void svd_col_scale_kernel<float, 256>(long, long, fl...         0.00%       0.000us         0.00%       0.000us       0.000us       2.610ms         0.00%       2.610ms       1.699us          1536  
