-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 ampere_sgemm_128x64_tt         0.00%       0.000us         0.00%       0.000us       0.000us     988.760ms         0.03%     988.760ms     643.724us          1536  
void batch_eye_kernel<float, 5, 3>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us     960.397ms         0.03%     960.397ms      24.520us         39168  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     921.782ms         0.03%     921.782ms     240.047us          3840  
void larft_T_32<float, 256>(int, float*, int, float ...         0.00%       0.000us         0.00%       0.000us       0.000us     758.109ms         0.03%     758.109ms      12.339us         61440  
void larft_T_64_batch<float>(int, float*, int, float...         0.00%       0.000us         0.00%       0.000us       0.000us     615.585ms         0.02%     615.585ms      16.031us         38400  
                                               cudaFree         0.11%        3.194s         0.11%        3.194s     490.215us     612.395ms         0.02%     612.395ms      93.983us          6516  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     563.349ms         0.02%     563.349ms       3.380us        166656  
void orgqr_step1_kernel<float, 5, 3>(int, int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us     489.053ms         0.02%     489.053ms      35.377us         13824  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     327.082ms         0.01%     327.082ms       1.182us        276672  
                        ampere_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us     323.513ms         0.01%     323.513ms       5.851us         55296  
                                 ampere_sgemm_128x32_tn         0.00%       0.000us         0.00%       0.000us       0.000us     303.905ms         0.01%     303.905ms       4.946us         61440  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     292.272ms         0.01%     292.272ms       4.937us         59200  
void gemmcn_skinny_kernel<float, 2, 4>(int, int, int...         0.00%       0.000us         0.00%       0.000us       0.000us     270.959ms         0.01%     270.959ms      35.281us          7680  
                                     aten::index_select         0.00%      26.315ms         0.00%      55.136ms      28.333us     247.031ms         0.01%     249.505ms     128.214us          1946  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us     242.013ms         0.01%     242.013ms       2.521ms            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     186.529ms         0.01%     186.529ms       1.475us        126490  
                                            aten::rsqrt         0.03%     762.835ms         0.04%        1.229s       9.715us     184.410ms         0.01%     184.428ms       1.458us        126490  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     184.410ms         0.01%     184.410ms       1.458us        126490  
void larfb_restore_v1_R_kernel<float, 16>(long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     140.004ms         0.00%     140.004ms       2.026us         69120  
void larfb_set_v1_R_kernel<float, 16>(long, float*, ...         0.00%       0.000us         0.00%       0.000us       0.000us     135.414ms         0.00%     135.414ms       1.959us         69120  
void larft_T_64<float>(int, float*, int, float const...         0.00%       0.000us         0.00%       0.000us       0.000us     115.639ms         0.00%     115.639ms      15.057us          7680  
                                             aten::triu         0.00%      68.752ms         0.00%     147.167ms      10.646us      99.212ms         0.00%      99.250ms       7.180us         13824  
void at::native::triu_tril_kernel<float, int, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us      99.212ms         0.00%      99.212ms       7.177us         13824  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      95.141ms         0.00%      95.141ms      24.776us          3840  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      94.834ms         0.00%      94.834ms      24.696us          3840  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      89.178ms         0.00%      89.178ms      23.223us          3840  
                                 ampere_sgemm_128x32_nt         0.00%       0.000us         0.00%       0.000us       0.000us      77.814ms         0.00%      77.814ms      25.330us          3072  
                                           aten::argmax         0.00%      31.463ms         0.00%      46.928ms      24.115us      61.836ms         0.00%      61.949ms      31.834us          1946  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      61.836ms         0.00%      61.836ms      31.776us          1946  
                            copy_info_kernel(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us      59.909ms         0.00%      59.909ms       1.258us         47616  
                                            aten::fill_         0.00%     133.612ms         0.01%     352.589ms       9.464us      53.642ms         0.00%      56.375ms       1.513us         37256  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      43.639ms         0.00%      43.639ms       1.495us         29184  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      36.906ms         0.00%      36.906ms       2.711us         13614  
void offA_stage1<float, float, 5, 3>(long, long, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      30.715ms         0.00%      30.715ms       3.161us          9716  
void transpose_readWrite_alignment_kernel<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      30.217ms         0.00%      30.217ms       5.621us          5376  
void setup_vhat_l_kernel<float, 16>(long, long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      29.875ms         0.00%      29.875ms       7.780us          3840  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      24.278ms         0.00%      24.278ms      31.612us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.759ms         0.00%      23.759ms       6.105us          3892  
                                  cudaDeviceSynchronize         0.28%        8.600s         0.28%        8.600s       5.595ms      21.229ms         0.00%      21.229ms      13.812us          1537  
void syevj_parallel_order_set_kernel<512>(long, int*...         0.00%       0.000us         0.00%       0.000us       0.000us      20.610ms         0.00%      20.610ms       6.709us          3072  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      20.097ms         0.00%      20.097ms       1.394us         14420  
                                              aten::all         0.00%      25.831ms         0.00%      36.684ms      18.851us      18.170ms         0.00%      18.189ms       9.347us          1946  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      18.170ms         0.00%      18.170ms       9.337us          1946  
                                          aten::normal_         0.00%      22.326ms         0.05%        1.598s       1.040ms      16.743ms         0.00%      16.774ms      10.921us          1536  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      16.743ms         0.00%      16.743ms      10.900us          1536  
            void offA_stage2<float, 5, 3>(long, float*)         0.00%       0.000us         0.00%       0.000us       0.000us      14.683ms         0.00%      14.683ms       1.511us          9716  
                                               aten::eq         0.00%      80.006ms         0.00%     127.681ms      16.203us      13.367ms         0.00%      13.377ms       1.698us          7880  
                                              aten::sin         0.00%      15.923ms         0.00%      26.120ms      13.423us      12.855ms         0.00%      13.156ms       6.761us          1946  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.855ms         0.00%      12.855ms       6.606us          1946  
                                              aten::cos         0.00%      19.490ms         0.00%      30.083ms      15.459us      12.831ms         0.00%      13.129ms       6.747us          1946  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.831ms         0.00%      12.831ms       6.594us          1946  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      11.998ms         0.00%      11.998ms       3.083us          3892  
