-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void batch_eye_kernel<float, 5, 3>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us     991.688ms         0.03%     991.688ms      18.714us         52992  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     931.800ms         0.03%     931.800ms     242.656us          3840  
void larft_T_32<float, 256>(int, float*, int, float ...         0.00%       0.000us         0.00%       0.000us       0.000us     893.218ms         0.03%     893.218ms      10.573us         84480  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     686.327ms         0.02%     686.327ms       3.518us        195072  
void larft_T_64_batch<float>(int, float*, int, float...         0.00%       0.000us         0.00%       0.000us       0.000us     625.523ms         0.02%     625.523ms      16.290us         38400  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     578.636ms         0.02%     578.636ms       2.009ms           288  
void gemmcn_skinny_kernel<float, 2, 4>(int, int, int...         0.00%       0.000us         0.00%       0.000us       0.000us     555.616ms         0.02%     555.616ms      36.173us         15360  
                                  stage:back_projection         0.00%       0.000us         0.00%       0.000us       0.000us     525.117ms         0.02%     525.117ms     341.873us          1536  
void orgqr_step1_kernel<float, 5, 3>(int, int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us     507.542ms         0.02%     507.542ms      36.715us         13824  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us     369.455ms         0.01%     369.455ms     316.314us          1168  
                                 ampere_sgemm_128x32_tn         0.00%       0.000us         0.00%       0.000us       0.000us     338.412ms         0.01%     338.412ms       4.896us         69120  
                        ampere_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us     329.103ms         0.01%     329.103ms       5.952us         55296  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     325.228ms         0.01%     325.228ms       1.150us        282816  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     274.495ms         0.01%     274.495ms       5.005us         54848  
                                     aten::index_select         0.00%      22.763ms         0.00%      46.803ms      25.858us     252.137ms         0.01%     254.631ms     140.680us          1810  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us     247.446ms         0.01%     247.446ms       2.578ms            96  
void larft_T_64<float>(int, float*, int, float const...         0.00%       0.000us         0.00%       0.000us       0.000us     237.430ms         0.01%     237.430ms      15.458us         15360  
                                               cudaFree         0.08%        2.419s         0.08%        2.419s     371.254us     200.905ms         0.01%     200.905ms      30.833us          6516  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     188.911ms         0.01%     188.911ms      15.374us         12288  
                                            aten::rsqrt         0.02%     558.457ms         0.03%     943.735ms       8.022us     174.248ms         0.01%     174.268ms       1.481us        117650  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     174.248ms         0.01%     174.248ms       1.481us        117650  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     173.580ms         0.01%     173.580ms       1.475us        117650  
void larfb_restore_v1_R_kernel<float, 16>(long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     166.573ms         0.01%     166.573ms       1.972us         84480  
void larfb_set_v1_R_kernel<float, 16>(long, float*, ...         0.00%       0.000us         0.00%       0.000us       0.000us     161.167ms         0.01%     161.167ms       1.908us         84480  
void gemmSN_NN_kernel<float, 256, 4, 2, 8, 4, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us     128.076ms         0.00%     128.076ms       3.207us         39936  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     106.046ms         0.00%     106.046ms      19.726us          5376  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     105.944ms         0.00%     105.944ms      19.707us          5376  
                                 ampere_sgemm_128x32_nt         0.00%       0.000us         0.00%       0.000us       0.000us     105.733ms         0.00%     105.733ms      22.946us          4608  
                                             aten::triu         0.00%      62.892ms         0.05%        1.640s     118.661us     102.138ms         0.00%     163.762ms      11.846us         13824  
void at::native::triu_tril_kernel<float, int, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us     102.138ms         0.00%     102.138ms       7.388us         13824  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     101.106ms         0.00%     101.106ms      18.807us          5376  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      81.549ms         0.00%      81.549ms     221.601us           368  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      80.278ms         0.00%      80.278ms      34.843us          2304  
                            copy_info_kernel(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us      60.773ms         0.00%      60.773ms       1.276us         47616  
                                            aten::fill_         0.00%     133.088ms         0.47%       14.111s     354.702us      59.974ms         0.00%      67.217ms       1.690us         39784  
