-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 svd_v5/chol_qr/to_fp32         0.00%       0.000us         0.00%       0.000us       0.000us     157.440ms         0.06%     157.440ms     109.333us          1440  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     144.979ms         0.05%     144.979ms       1.812ms            80  
void potrf_alg2_upper_trsm<float, 5, 3>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     142.195ms         0.05%     142.195ms       9.864us         14416  
         ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn         0.00%       0.000us         0.00%       0.000us       0.000us     109.602ms         0.04%     109.602ms       1.370ms            80  
void trsm_right_kernel<int, float, 256, 4, true, fal...         0.00%       0.000us         0.00%       0.000us       0.000us     108.381ms         0.04%     108.381ms      33.869us          3200  
                                           Buffer Flush         0.00%      11.999ms         0.01%      15.615ms     104.099us      78.334ms         0.03%      78.696ms     524.641us           150  
void potrf_alg2_syrk_kernel<float, true, false, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us      52.766ms         0.02%      52.766ms       3.660us         14416  
                                  svd_v5/reconstruction         0.00%       0.000us         0.00%       0.000us       0.000us      51.290ms         0.02%      51.290ms     320.564us           160  
                                  svd_v5/reconstruction         0.00%       3.200ms         0.00%      10.817ms      67.607us       0.000us         0.00%      46.517ms     290.731us           160  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us      29.953ms         0.01%      29.953ms       5.032us          5952  
                                        aten::embedding         0.00%       1.493ms         0.00%       7.486ms      38.192us       0.000us         0.00%      26.236ms     133.856us           196  
                                     aten::index_select         0.00%       2.968ms         0.00%       5.542ms      28.274us      26.236ms         0.01%      26.236ms     133.856us           196  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      25.726ms         0.01%      25.726ms       2.573ms            10  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      23.268ms         0.01%      23.268ms       1.113us         20896  
                                            aten::rsqrt         0.02%      57.240ms         0.03%      94.992ms       7.456us      19.178ms         0.01%      19.182ms       1.506us         12740  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.178ms         0.01%      19.178ms       1.505us         12740  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      18.860ms         0.01%      18.860ms       1.480us         12740  
                        ampere_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us      18.771ms         0.01%      18.771ms      58.661us           320  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      17.833ms         0.01%      17.833ms      20.265us           880  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us      14.375ms         0.01%      14.375ms       8.984us          1600  
void gemmcn_skinny_kernel<float, 2, 4>(int, int, int...         0.00%       0.000us         0.00%       0.000us       0.000us      12.551ms         0.00%      12.551ms      39.223us           320  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      11.797ms         0.00%      11.797ms      21.067us           560  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      11.770ms         0.00%      11.770ms      21.018us           560  
                                 ampere_sgemm_128x32_nt         0.00%       0.000us         0.00%       0.000us       0.000us      11.467ms         0.00%      11.467ms      23.889us           480  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      11.301ms         0.00%      11.301ms      20.180us           560  
                                   svd_v5/chol_qr/scale         0.00%       0.000us         0.00%       0.000us       0.000us       9.145ms         0.00%       9.145ms       6.350us          1440  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       9.030ms         0.00%       9.030ms      37.623us           240  
                                   svd_v5/chol_qr/scale         0.01%      27.106ms         0.02%      70.507ms      48.964us       0.000us         0.00%       7.940ms       5.514us          1440  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.144ms         0.00%       7.144ms       2.182us          3274  
void larft_T_64_batch<float>(int, float*, int, float...         0.00%       0.000us         0.00%       0.000us       0.000us       6.848ms         0.00%       6.848ms      17.120us           400  
                                           aten::argmax         0.00%       2.916ms         0.00%       4.091ms      20.873us       6.347ms         0.00%       6.347ms      32.385us           196  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.347ms         0.00%       6.347ms      32.385us           196  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.255ms         0.00%       6.255ms       4.344us          1440  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       6.178ms         0.00%       6.178ms       2.175us          2840  
