-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      33.742ms         0.00%      33.742ms       7.323us          4608  
                                               aten::eq         0.01%     225.262ms         0.01%     333.810ms      15.211us      33.635ms         0.00%      33.652ms       1.533us         21946  
                              aten::_local_scalar_dense         0.00%     129.447ms        87.82%     2469.130s     114.428ms      33.612ms         0.00%      33.620ms       1.558us         21578  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      33.612ms         0.00%      33.612ms       1.558us         21578  
void gemmSN_NN_kernel<float, 256, 4, 2, 8, 4, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us      32.652ms         0.00%      32.652ms       5.314us          6144  
void setup_vhat_l_kernel<float, 16>(long, long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      30.784ms         0.00%      30.784ms       5.726us          5376  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.414ms         0.00%      27.414ms       1.979us         13850  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      27.193ms         0.00%      27.193ms      35.407us           768  
void syevj_parallel_order_set_kernel<512>(long, int*...         0.00%       0.000us         0.00%       0.000us       0.000us      23.875ms         0.00%      23.875ms       7.772us          3072  
void pegasus_sortI32_by_oneCTA<512, false>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us      22.983ms         0.00%      22.983ms      14.963us          1536  
                                       aten::clamp_min_         0.00%      95.964ms         0.01%     166.736ms      12.061us      22.735ms         0.00%      22.746ms       1.645us         13824  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.735ms         0.00%      22.735ms       1.645us         13824  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      20.957ms         0.00%      20.957ms       1.454us         14417  
                                            aten::fill_         0.00%      69.383ms         0.01%     204.324ms      15.844us      19.882ms         0.00%      22.736ms       1.763us         12896  
                                              aten::all         0.01%     143.464ms         0.01%     377.185ms      23.797us      19.450ms         0.00%      40.364ms       2.547us         15850  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      19.450ms         0.00%      19.450ms       9.725us          2000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.393ms         0.00%      19.393ms       1.400us         13850  
                            potrf_alg2_reset_info(int*)         0.00%       0.000us         0.00%       0.000us       0.000us      19.129ms         0.00%      19.129ms       1.381us         13850  
                                          aten::normal_         0.00%      22.128ms         0.06%        1.603s       1.044ms      17.287ms         0.00%      17.318ms      11.275us          1536  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      17.287ms         0.00%      17.287ms      11.255us          1536  
void batch_eye_kernel<float, 5, 3>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us      17.233ms         0.00%      17.233ms       3.740us          4608  
                    potrf_alg2_set_info(int, int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us      16.938ms         0.00%      16.938ms       1.223us         13850  
            void offA_stage2<float, 5, 3>(long, float*)         0.00%       0.000us         0.00%       0.000us       0.000us      16.426ms         0.00%      16.426ms       1.691us          9713  
void geam_kernel<int, float, false, true, false, tru...         0.00%       0.000us         0.00%       0.000us       0.000us      15.873ms         0.00%      15.873ms       2.953us          5376  
                                  cudaDeviceSynchronize         0.07%        1.861s         0.07%        1.861s       1.211ms      13.787ms         0.00%      13.787ms       8.970us          1537  
                                              aten::sin         0.00%      18.517ms         0.00%      28.964ms      14.482us      13.100ms         0.00%      13.400ms       6.700us          2000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.100ms         0.00%      13.100ms       6.550us          2000  
                                              aten::cos         0.00%      20.534ms         0.00%      31.502ms      15.751us      13.062ms         0.00%      13.361ms       6.681us          2000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.062ms         0.00%      13.062ms       6.531us          2000  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      12.852ms         0.00%      12.852ms       3.213us          4000  
void colperm_kernel<float, float, 5, 4>(long, long, ...         0.00%       0.000us         0.00%       0.000us       0.000us      11.732ms         0.00%      11.732ms       3.819us          3072  
                                           aten::cumsum         0.00%      53.984ms         0.01%     191.168ms      91.206us      11.540ms         0.00%      11.598ms       5.533us          2096  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      10.106ms         0.00%      10.106ms     105.274us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.959ms         0.00%       9.959ms       1.660us          6000  
                            copy_info_kernel(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us       9.356ms         0.00%       9.356ms       1.523us          6144  
void at_cuda_detail::cub::DeviceScanKernel<at_cuda_d...         0.00%       0.000us         0.00%       0.000us       0.000us       9.091ms         0.00%       9.091ms       4.338us          2096  
                                              aten::any         0.00%      52.172ms         0.00%     128.949ms      33.721us       7.069ms         0.00%      13.484ms       3.526us          3824  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       7.069ms         0.00%       7.069ms       3.090us          2288  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.864ms         0.00%       6.864ms       1.126us          6096  
void batch_FnrmA_stage1<float, float, 8>(long, long,...         0.00%       0.000us         0.00%       0.000us       0.000us       6.743ms         0.00%       6.743ms       4.390us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.738ms         0.00%       6.738ms       1.666us          4045  
                                              aten::sub         0.00%      42.954ms         0.00%      70.690ms      17.258us       6.557ms         0.00%       6.564ms       1.603us          4096  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.052ms         0.00%       6.052ms       1.513us          4000  
                                              aten::max         0.00%      26.273ms         0.00%      51.405ms      25.703us       6.024ms         0.00%       6.032ms       3.016us          2000  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.024ms         0.00%       6.024ms       3.012us          2000  
                                            aten::index         0.00%      36.285ms         0.00%      64.409ms      33.828us       5.973ms         0.00%       5.981ms       3.141us          1904  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.973ms         0.00%       5.973ms       3.137us          1904  
                                       aten::bitwise_or         0.00%      41.386ms         0.00%      65.947ms      16.487us       5.584ms         0.00%       5.589ms       1.397us          4000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.584ms         0.00%       5.584ms       1.396us          4000  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       5.367ms         0.00%       5.367ms       2.819us          1904  
void larfb_restore_v1_R_kernel<float, 16>(long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       4.729ms         0.00%       4.729ms       1.539us          3072  
void reset_lowerA_kernel<float, 256>(long, float con...         0.00%       0.000us         0.00%       0.000us       0.000us       4.583ms         0.00%       4.583ms       2.984us          1536  
void larft_vtv_32<float, 128>(long, long, float cons...         0.00%       0.000us         0.00%       0.000us       0.000us       4.576ms         0.00%       4.576ms       2.979us          1536  
                                      aten::bitwise_and         0.00%      16.128ms         0.00%      25.032ms      12.516us       4.484ms         0.00%       4.486ms       2.243us          2000  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.484ms         0.00%       4.484ms       2.242us          2000  
void batch_FnrmA_stage2<float, 8>(long, float*, long...         0.00%       0.000us         0.00%       0.000us       0.000us       4.476ms         0.00%       4.476ms       2.914us          1536  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.381ms         0.00%       4.381ms       2.301us          1904  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.363ms         0.00%       4.363ms       9.090us           480  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.283ms         0.00%       4.283ms       2.044us          2096  
