-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 stage:init_random_proj         0.00%       0.000us         0.00%       0.000us       0.000us        2.172s         0.08%        2.172s       1.414ms          1536  
void svd_column_rotate_batch_32x16<float, 5, 3>(long...         0.00%       0.000us         0.00%       0.000us       0.000us        2.126s         0.08%        2.126s       6.720us        316356  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.995s         0.07%        1.995s      45.484us         43872  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us        1.962s         0.07%        1.962s      33.181us         59136  
void lacpy_kernel<float, float, 5, 3>(long, long, fl...         0.00%       0.000us         0.00%       0.000us       0.000us        1.957s         0.07%        1.957s      56.626us         34560  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us        1.841s         0.07%        1.841s      15.736us        116992  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us        1.670s         0.06%        1.670s       1.969ms           848  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        1.581s         0.06%        1.581s       1.098ms          1440  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.207s         0.04%        1.207s       7.628us        158178  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        1.206s         0.04%        1.206s       1.571ms           768  
         ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.022s         0.04%        1.022s       1.331ms           768  
void batch_eye_kernel<float, 5, 3>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us     956.585ms         0.03%     956.585ms      24.423us         39168  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     948.194ms         0.03%     948.194ms       1.235ms           768  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     916.619ms         0.03%     916.619ms     238.703us          3840  
void larft_T_32<float, 256>(int, float*, int, float ...         0.00%       0.000us         0.00%       0.000us       0.000us     689.965ms         0.02%     689.965ms      11.230us         61440  
void larft_T_64_batch<float>(int, float*, int, float...         0.00%       0.000us         0.00%       0.000us       0.000us     583.855ms         0.02%     583.855ms      15.205us         38400  
                                  stage:back_projection         0.00%       0.000us         0.00%       0.000us       0.000us     546.443ms         0.02%     546.443ms     355.757us          1536  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     531.298ms         0.02%     531.298ms       3.188us        166656  
void orgqr_step1_kernel<float, 5, 3>(int, int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us     455.468ms         0.02%     455.468ms      32.948us         13824  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     411.011ms         0.01%     411.011ms       1.284ms           320  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     402.775ms         0.01%     402.775ms       1.399ms           288  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     321.019ms         0.01%     321.019ms       1.172us        273792  
                        ampere_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us     306.874ms         0.01%     306.874ms       5.550us         55296  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     289.330ms         0.01%     289.330ms       4.946us         58496  
                                 ampere_sgemm_128x32_tn         0.00%       0.000us         0.00%       0.000us       0.000us     278.358ms         0.01%     278.358ms       4.531us         61440  
void gemmcn_skinny_kernel<float, 2, 4>(int, int, int...         0.00%       0.000us         0.00%       0.000us       0.000us     262.559ms         0.01%     262.559ms      34.187us          7680  
                                     aten::index_select         0.00%      27.405ms         0.00%      55.220ms      28.700us     247.433ms         0.01%     249.907ms     129.889us          1924  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us     242.473ms         0.01%     242.473ms       2.526ms            96  
                                            aten::rsqrt         0.03%     762.266ms         0.04%        1.243s       9.940us     182.829ms         0.01%     182.850ms       1.462us        125060  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     182.829ms         0.01%     182.829ms       1.462us        125060  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     182.135ms         0.01%     182.135ms       1.456us        125060  
                                               cudaFree         0.11%        3.187s         0.11%        3.187s     489.054us     147.643ms         0.01%     147.643ms      22.659us          6516  
void larfb_restore_v1_R_kernel<float, 16>(long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     130.789ms         0.00%     130.789ms       1.892us         69120  
void larfb_set_v1_R_kernel<float, 16>(long, float*, ...         0.00%       0.000us         0.00%       0.000us       0.000us     127.071ms         0.00%     127.071ms       1.838us         69120  
void larft_T_64<float>(int, float*, int, float const...         0.00%       0.000us         0.00%       0.000us       0.000us     111.606ms         0.00%     111.606ms      14.532us          7680  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us     110.835ms         0.00%     110.835ms     189.786us           584  
                                             aten::triu         0.00%      84.758ms         0.06%        1.737s     125.616us      94.323ms         0.00%     101.232ms       7.323us         13824  
void at::native::triu_tril_kernel<float, int, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us      94.323ms         0.00%      94.323ms       6.823us         13824  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      91.897ms         0.00%      91.897ms      23.931us          3840  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      91.582ms         0.00%      91.582ms      23.850us          3840  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      86.145ms         0.00%      86.145ms      22.434us          3840  
                                 ampere_sgemm_128x32_nt         0.00%       0.000us         0.00%       0.000us       0.000us      77.838ms         0.00%      77.838ms      25.338us          3072  
                                           aten::argmax         0.00%      28.995ms         0.00%      44.309ms      23.030us      61.224ms         0.00%      61.337ms      31.880us          1924  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      61.224ms         0.00%      61.224ms      31.821us          1924  
                                            aten::fill_         0.01%     154.076ms         0.01%     415.847ms      10.334us      58.358ms         0.00%      62.256ms       1.547us         40240  
                            copy_info_kernel(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us      57.758ms         0.00%      57.758ms       1.213us         47616  
                                  cudaDeviceSynchronize         0.06%        1.652s         0.06%        1.652s       1.075ms      49.144ms         0.00%      49.144ms      31.974us          1537  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      42.164ms         0.00%      42.164ms       1.445us         29184  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      36.551ms         0.00%      36.551ms       2.698us         13548  
void transpose_readWrite_alignment_kernel<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      29.880ms         0.00%      29.880ms       5.558us          5376  
void setup_vhat_l_kernel<float, 16>(long, long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      29.842ms         0.00%      29.842ms       7.771us          3840  
void offA_stage1<float, float, 5, 3>(long, long, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      29.674ms         0.00%      29.674ms       3.053us          9718  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      24.226ms         0.00%      24.226ms      31.544us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.713ms         0.00%      23.713ms       6.163us          3848  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      19.953ms         0.00%      19.953ms       1.384us         14422  
void syevj_parallel_order_set_kernel<512>(long, int*...         0.00%       0.000us         0.00%       0.000us       0.000us      19.884ms         0.00%      19.884ms       6.473us          3072  
                                              aten::all         0.00%      26.407ms         0.00%      37.398ms      19.438us      18.014ms         0.00%      18.024ms       9.368us          1924  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      18.014ms         0.00%      18.014ms       9.363us          1924  
                                          aten::normal_         0.00%      24.021ms         0.06%        1.607s       1.046ms      15.878ms         0.00%      15.909ms      10.357us          1536  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      15.878ms         0.00%      15.878ms      10.337us          1536  
            void offA_stage2<float, 5, 3>(long, float*)         0.00%       0.000us         0.00%       0.000us       0.000us      14.206ms         0.00%      14.206ms       1.462us          9718  
                                               aten::eq         0.00%      77.555ms         0.00%     123.559ms      15.857us      13.282ms         0.00%      13.290ms       1.706us          7792  
         ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_tt         0.00%       0.000us         0.00%       0.000us       0.000us      12.954ms         0.00%      12.954ms     161.920us            80  
                                              aten::sin         0.00%      18.486ms         0.00%      28.711ms      14.922us      12.829ms         0.00%      13.131ms       6.825us          1924  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.829ms         0.00%      12.829ms       6.668us          1924  
                                              aten::cos         0.00%      18.075ms         0.00%      29.427ms      15.295us      12.805ms         0.00%      13.102ms       6.810us          1924  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.805ms         0.00%      12.805ms       6.656us          1924  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      11.878ms         0.00%      11.878ms       3.087us          3848  
                              aten::_local_scalar_dense         0.00%      47.857ms         9.35%      272.611s      36.348ms      10.765ms         0.00%      10.766ms       1.435us          7500  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      10.765ms         0.00%      10.765ms       1.435us          7500  
                                           aten::cumsum         0.00%      52.696ms         0.01%     162.920ms      80.653us      10.703ms         0.00%      10.760ms       5.327us          2020  
void geam_kernel<int, float, false, true, false, tru...         0.00%       0.000us         0.00%       0.000us       0.000us      10.469ms         0.00%      10.469ms       2.726us          3840  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      10.050ms         0.00%      10.050ms     104.685us            96  
void pegasus_sortI32_by_oneCTA<512, false>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us       9.950ms         0.00%       9.950ms      12.955us           768  
void colperm_kernel<float, float, 5, 4>(long, long, ...         0.00%       0.000us         0.00%       0.000us       0.000us       9.371ms         0.00%       9.371ms       3.050us          3072  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.241ms         0.00%       9.241ms       1.601us          5772  
void at_cuda_detail::cub::DeviceScanKernel<at_cuda_d...         0.00%       0.000us         0.00%       0.000us       0.000us       8.419ms         0.00%       8.419ms       4.168us          2020  
void pegasus_sortI32_by_oneCTA<256, false>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us       8.019ms         0.00%       8.019ms      10.441us           768  
                                              aten::any         0.00%      54.869ms         0.00%     141.069ms      37.638us       6.570ms         0.00%      12.272ms       3.274us          3748  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.570ms         0.00%       6.570ms       2.970us          2212  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.395ms         0.00%       6.395ms       1.090us          5868  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.270ms         0.00%       6.270ms       1.610us          3893  
                                              aten::sub         0.00%      39.104ms         0.00%      65.257ms      16.546us       6.073ms         0.00%       6.080ms       1.541us          3944  
                                              aten::max         0.00%      25.114ms         0.00%      51.867ms      26.958us       5.638ms         0.00%       5.649ms       2.936us          1924  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.638ms         0.00%       5.638ms       2.930us          1924  
