-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::all         0.00%      10.195ms         0.01%      29.347ms      19.294us     670.016us         0.00%       2.887ms       1.898us          1521  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.841ms         0.00%       2.841ms       1.956us          1452  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       2.796ms         0.00%       2.796ms      34.945us            80  
                                             aten::item         0.00%       2.282ms        90.99%      232.450s     126.400ms       0.000us         0.00%       2.749ms       1.495us          1839  
                              aten::_local_scalar_dense         0.00%       8.878ms        90.99%      232.447s     126.399ms       2.747ms         0.00%       2.749ms       1.495us          1839  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       2.747ms         0.00%       2.747ms       1.494us          1839  
                                               aten::eq         0.01%      13.754ms         0.01%      21.175ms      12.183us       2.526ms         0.00%       2.526ms       1.453us          1738  
                                       aten::is_nonzero         0.00%       2.146ms        90.99%      232.449s     138.445ms       0.000us         0.00%       2.478ms       1.476us          1679  
void syevj_parallel_order_set_kernel<512>(long, int*...         0.00%       0.000us         0.00%       0.000us       0.000us       2.463ms         0.00%       2.463ms       7.698us           320  
                                       aten::clamp_min_         0.00%       7.720ms         0.01%      12.788ms       8.881us       2.394ms         0.00%       2.394ms       1.663us          1440  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.394ms         0.00%       2.394ms       1.663us          1440  
void pegasus_sortI32_by_oneCTA<512, false>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us       2.372ms         0.00%       2.372ms      14.826us           160  
                                           aten::argmax         0.00%       5.043ms         0.00%       5.950ms      86.236us       2.274ms         0.00%       2.311ms      33.489us            69  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       2.274ms         0.00%       2.274ms      32.964us            69  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.047ms         0.00%       2.047ms       1.366us          1498  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.013ms         0.00%       2.013ms       1.386us          1452  
                            potrf_alg2_reset_info(int*)         0.00%       0.000us         0.00%       0.000us       0.000us       1.985ms         0.00%       1.985ms       1.367us          1452  
                                            aten::randn         0.00%     938.752us         0.00%       4.742ms      29.635us       0.000us         0.00%       1.785ms      11.154us           160  
                                          aten::normal_         0.00%       1.993ms         0.00%       3.154ms      19.715us       1.785ms         0.00%       1.785ms      11.154us           160  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       1.785ms         0.00%       1.785ms      11.154us           160  
void batch_eye_kernel<float, 5, 3>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.783ms         0.00%       1.783ms       3.714us           480  
                    potrf_alg2_set_info(int, int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us       1.759ms         0.00%       1.759ms       1.212us          1452  
            void offA_stage2<float, 5, 3>(long, float*)         0.00%       0.000us         0.00%       0.000us       0.000us       1.680ms         0.00%       1.680ms       1.666us          1008  
void geam_kernel<int, float, false, true, false, tru...         0.00%       0.000us         0.00%       0.000us       0.000us       1.630ms         0.00%       1.630ms       2.910us           560  
                                            aten::fill_         0.00%       3.979ms         0.00%      12.723ms      16.187us       1.340ms         0.00%       1.433ms       1.823us           786  
                                              aten::eye         0.00%       2.793ms         0.01%      16.269ms      50.841us       0.000us         0.00%       1.347ms       4.210us           320  
void colperm_kernel<float, float, 5, 4>(long, long, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.211ms         0.00%       1.211ms       3.784us           320  
                                              aten::sin         0.00%     617.281us         0.00%     944.178us      13.684us       1.101ms         0.00%       1.101ms      15.951us            69  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.101ms         0.00%       1.101ms      15.951us            69  
                                              aten::cos         0.00%     635.487us         0.00%     971.527us      14.080us       1.098ms         0.00%       1.098ms      15.910us            69  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.098ms         0.00%       1.098ms      15.910us            69  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.061ms         0.00%       1.061ms     106.078us            10  
                            copy_info_kernel(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us     974.834us         0.00%     974.834us       1.523us           640  
                                              aten::any         0.00%       2.633ms         0.00%      10.272ms      39.660us     292.002us         0.00%     943.229us       3.642us           259  
                             aten::_linalg_check_errors         0.00%     695.480us         0.00%      11.724ms      73.277us       0.000us         0.00%     921.955us       5.762us           160  
void batch_FnrmA_stage1<float, float, 8>(long, long,...         0.00%       0.000us         0.00%       0.000us       0.000us     697.512us         0.00%     697.512us       4.359us           160  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     670.016us         0.00%     670.016us       9.710us            69  
                                             aten::isin         0.00%       1.435ms         0.00%       6.422ms      81.291us       0.000us         0.00%     606.889us       7.682us            79  
                                            aten::zero_         0.00%       1.035ms         0.00%       4.676ms      14.611us       0.000us         0.00%     598.411us       1.870us           320  
void larfb_restore_v1_R_kernel<float, 16>(long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     491.885us         0.00%     491.885us       1.537us           320  
void larft_vtv_32<float, 128>(long, long, float cons...         0.00%       0.000us         0.00%       0.000us       0.000us     473.888us         0.00%     473.888us       2.962us           160  
void reset_lowerA_kernel<float, 256>(long, float con...         0.00%       0.000us         0.00%       0.000us       0.000us     463.202us         0.00%     463.202us       2.895us           160  
void batch_FnrmA_stage2<float, 8>(long, float*, long...         0.00%       0.000us         0.00%       0.000us       0.000us     460.490us         0.00%     460.490us       2.878us           160  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     453.190us         0.00%     453.190us       9.064us            50  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     442.855us         0.00%     442.855us       3.209us           138  
void larfb_set_v1_R_kernel<float, 16>(long, float*, ...         0.00%       0.000us         0.00%       0.000us       0.000us     435.199us         0.00%     435.199us       1.360us           320  
                                           aten::cumsum         0.00%       1.718ms         0.00%       8.082ms     102.306us     429.727us         0.00%     429.727us       5.440us            79  
void larft_T_32<float, 256>(int, float*, int, float ...         0.00%       0.000us         0.00%       0.000us       0.000us     401.953us         0.00%     401.953us       2.512us           160  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     361.537us         0.00%     361.537us       2.260us           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     355.079us         0.00%     355.079us       2.219us           160  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     352.770us         0.00%     352.770us       1.704us           207  
void pegasus_sortsign_by_key_local_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us     346.783us         0.00%     346.783us       2.167us           160  
void lascl_kernel<float, float, 8>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us     341.349us         0.00%     341.349us       2.133us           160  
