-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us     255.415ms         0.01%     255.415ms       2.661ms            96  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     239.484ms         0.01%     239.484ms       1.214us        197280  
                        ampere_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us     189.507ms         0.01%     189.507ms      61.689us          3072  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us     185.277ms         0.01%     185.277ms      21.931us          8448  
                                            aten::rsqrt         0.02%     720.881ms         0.04%        1.172s       9.801us     180.795ms         0.01%     180.824ms       1.513us        119535  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     180.795ms         0.01%     180.795ms       1.512us        119535  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     180.077ms         0.01%     180.077ms       1.506us        119535  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     147.603ms         0.01%     147.603ms       9.610us         15360  
void gemmcn_skinny_kernel<float, 2, 4>(int, int, int...         0.00%       0.000us         0.00%       0.000us       0.000us     132.458ms         0.00%     132.458ms      43.118us          3072  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     124.031ms         0.00%     124.031ms      23.071us          5376  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     123.961ms         0.00%     123.961ms      23.058us          5376  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     119.071ms         0.00%     119.071ms      22.149us          5376  
                                 ampere_sgemm_128x32_nt         0.00%       0.000us         0.00%       0.000us       0.000us     115.844ms         0.00%     115.844ms      25.140us          4608  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      95.079ms         0.00%      95.079ms      41.267us          2304  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      93.093ms         0.00%      93.093ms     252.971us           368  
void larft_T_64_batch<float>(int, float*, int, float...         0.00%       0.000us         0.00%       0.000us       0.000us      72.315ms         0.00%      72.315ms      18.832us          3840  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      71.941ms         0.00%      71.941ms       2.295us         31345  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      64.281ms         0.00%      64.281ms       4.650us         13824  
                                            aten::triu_         0.00%      85.122ms         0.01%     146.492ms      10.582us      63.785ms         0.00%      63.795ms       4.608us         13843  
void at::native::triu_tril_kernel<float, int, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us      63.785ms         0.00%      63.785ms       4.608us         13843  
                                           aten::argmax         0.00%      29.719ms         0.00%      44.848ms      24.387us      61.318ms         0.00%      61.423ms      33.400us          1839  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      61.318ms         0.00%      61.318ms      33.343us          1839  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      61.190ms         0.00%      61.190ms       2.255us         27136  
void larft_T_64<float>(int, float*, int, float const...         0.00%       0.000us         0.00%       0.000us       0.000us      56.679ms         0.00%      56.679ms      18.450us          3072  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us      54.011ms         0.00%      54.011ms       7.033us          7680  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      51.850ms         0.00%      51.850ms       3.376us         15360  
void transpose_readWrite_alignment_kernel<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      37.920ms         0.00%      37.920ms       5.486us          6912  
void offA_stage1<float, float, 5, 3>(long, long, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      37.414ms         0.00%      37.414ms       3.852us          9713  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      36.547ms         0.00%      36.547ms       7.931us          4608  
void gemmSN_NN_kernel<float, 256, 4, 2, 8, 4, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us      34.894ms         0.00%      34.894ms       5.679us          6144  
                                               aten::eq         0.01%     230.278ms         0.01%     327.357ms      15.372us      33.951ms         0.00%      33.965ms       1.595us         21295  
                              aten::_local_scalar_dense         0.00%     125.283ms        88.52%     2565.457s     121.655ms      33.422ms         0.00%      33.433ms       1.585us         21088  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      33.422ms         0.00%      33.422ms       1.585us         21088  
void setup_vhat_l_kernel<float, 16>(long, long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      31.435ms         0.00%      31.435ms       5.847us          5376  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.319ms         0.00%      29.319ms       2.118us         13843  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      29.235ms         0.00%      29.235ms      38.066us           768  
void syevj_parallel_order_set_kernel<512>(long, int*...         0.00%       0.000us         0.00%       0.000us       0.000us      25.965ms         0.00%      25.965ms       8.452us          3072  
void pegasus_sortI32_by_oneCTA<512, false>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us      24.556ms         0.00%      24.556ms      15.987us          1536  
                                       aten::clamp_min_         0.00%      95.688ms         0.01%     166.272ms      12.028us      24.197ms         0.00%      24.202ms       1.751us         13824  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.197ms         0.00%      24.197ms       1.750us         13824  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      21.598ms         0.00%      21.598ms       1.498us         14417  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.770ms         0.00%      20.770ms       1.500us         13843  
                            potrf_alg2_reset_info(int*)         0.00%       0.000us         0.00%       0.000us       0.000us      20.499ms         0.00%      20.499ms       1.481us         13843  
                                            aten::fill_         0.00%      66.467ms         0.01%     190.665ms      15.562us      19.388ms         0.00%      22.012ms       1.797us         12252  
                    potrf_alg2_set_info(int, int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us      18.100ms         0.00%      18.100ms       1.308us         13843  
                                              aten::all         0.00%     140.741ms         0.01%     380.803ms      24.283us      17.917ms         0.00%      40.111ms       2.558us         15682  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      17.917ms         0.00%      17.917ms       9.743us          1839  
void batch_eye_kernel<float, 5, 3>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us      17.828ms         0.00%      17.828ms       3.869us          4608  
            void offA_stage2<float, 5, 3>(long, float*)         0.00%       0.000us         0.00%       0.000us       0.000us      17.601ms         0.00%      17.601ms       1.812us          9713  
                                          aten::normal_         0.00%      21.573ms         0.06%        1.608s       1.047ms      17.444ms         0.00%      17.474ms      11.377us          1536  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      17.444ms         0.00%      17.444ms      11.357us          1536  
void geam_kernel<int, float, false, true, false, tru...         0.00%       0.000us         0.00%       0.000us       0.000us      16.827ms         0.00%      16.827ms       3.130us          5376  
                                              aten::sin         0.00%      18.150ms         0.00%      27.973ms      15.211us      12.800ms         0.00%      13.101ms       7.124us          1839  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.800ms         0.00%      12.800ms       6.961us          1839  
                                              aten::cos         0.00%      17.397ms         0.00%      31.994ms      17.398us      12.782ms         0.00%      13.079ms       7.112us          1839  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.782ms         0.00%      12.782ms       6.951us          1839  
void colperm_kernel<float, float, 5, 4>(long, long, ...         0.00%       0.000us         0.00%       0.000us       0.000us      12.521ms         0.00%      12.521ms       4.076us          3072  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      11.684ms         0.00%      11.684ms       3.177us          3678  
                                           aten::cumsum         0.00%      47.621ms         0.01%     180.916ms      93.497us      10.713ms         0.00%      10.765ms       5.563us          1935  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      10.094ms         0.00%      10.094ms     105.142us            96  
                            copy_info_kernel(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us      10.068ms         0.00%      10.068ms       1.639us          6144  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.178ms         0.00%       9.178ms       1.664us          5517  
void at_cuda_detail::cub::DeviceScanKernel<at_cuda_d...         0.00%       0.000us         0.00%       0.000us       0.000us       8.420ms         0.00%       8.420ms       4.352us          1935  
void batch_FnrmA_stage1<float, float, 8>(long, long,...         0.00%       0.000us         0.00%       0.000us       0.000us       7.320ms         0.00%       7.320ms       4.766us          1536  
                                              aten::any         0.00%      45.053ms         0.00%     117.784ms      32.155us       6.559ms         0.00%      13.318ms       3.636us          3663  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.559ms         0.00%       6.559ms       3.084us          2127  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.336ms         0.00%       6.336ms       1.129us          5613  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.225ms         0.00%       6.225ms       1.672us          3723  
                                              aten::sub         0.00%      41.023ms         0.00%      68.860ms      18.246us       6.038ms         0.00%       6.045ms       1.602us          3774  
                                              aten::max         0.00%      24.469ms         0.00%      50.789ms      27.618us       5.577ms         0.00%       5.584ms       3.037us          1839  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.577ms         0.00%       5.577ms       3.032us          1839  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.509ms         0.00%       5.509ms       1.498us          3678  
                                            aten::index         0.00%      32.198ms         0.00%      58.304ms      33.450us       5.457ms         0.00%       5.464ms       3.135us          1743  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.457ms         0.00%       5.457ms       3.131us          1743  
                                       aten::bitwise_or         0.00%      32.332ms         0.00%      58.196ms      15.823us       5.135ms         0.00%       5.140ms       1.397us          3678  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.135ms         0.00%       5.135ms       1.396us          3678  
void larfb_restore_v1_R_kernel<float, 16>(long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.088ms         0.00%       5.088ms       1.656us          3072  
void larft_vtv_32<float, 128>(long, long, float cons...         0.00%       0.000us         0.00%       0.000us       0.000us       4.998ms         0.00%       4.998ms       3.254us          1536  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       4.899ms         0.00%       4.899ms       2.811us          1743  
void batch_FnrmA_stage2<float, 8>(long, float*, long...         0.00%       0.000us         0.00%       0.000us       0.000us       4.839ms         0.00%       4.839ms       3.150us          1536  
void reset_lowerA_kernel<float, 256>(long, float con...         0.00%       0.000us         0.00%       0.000us       0.000us       4.710ms         0.00%       4.710ms       3.067us          1536  
void larfb_set_v1_R_kernel<float, 16>(long, float*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       4.614ms         0.00%       4.614ms       1.502us          3072  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.358ms         0.00%       4.358ms       9.079us           480  
                                      aten::bitwise_and         0.00%      17.982ms         0.00%      26.591ms      14.460us       4.174ms         0.00%       4.176ms       2.271us          1839  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.174ms         0.00%       4.174ms       2.269us          1839  
void larft_T_32<float, 256>(int, float*, int, float ...         0.00%       0.000us         0.00%       0.000us       0.000us       4.161ms         0.00%       4.161ms       2.709us          1536  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.119ms         0.00%       4.119ms       2.363us          1743  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.003ms         0.00%       4.003ms       2.069us          1935  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.804ms         0.00%       3.804ms       2.477us          1536  
                                     aten::masked_fill_         0.00%      17.505ms         0.00%      91.593ms      49.806us       3.730ms         0.00%       3.736ms       2.032us          1839  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.730ms         0.00%       3.730ms       2.028us          1839  
void pegasus_sortsign_by_key_local_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.599ms         0.00%       3.599ms       2.343us          1536  
